Designer;Serie;Type;Codename;Year Released;Function;Width of Machine Word;Supported Instruction Set(s);Type of processor core(s);Number of processor core(s);Memory Interface(s);Max. Clock Frequency of Memory IF;Data Bus Width;Address Bus Width;Number of data bus channels;Non-volatile Memory Data Bus Width;Non-volatile Memory Interface;DMA Channels;Recommended Minimum Clock Frequency;Recommended Maximum Clock Frequency;Max. Data Rate;L1 Instruction Cache per Core;L0 Instruction Cache per Core;Number of L1 Cache Ways;L1 Data Cache per Core;Number of L2 Cache Ways;Total L2 Cache;Total L3 Cache;Internal Systembus Clock;Pipeline Stages;Instruction Execution Performance;Feature Size;Semiconductor Technology;Number of Transistors Integrated;Pins;Fab;Embedded GPU;Number of GPU cores;GPU Clock;Dedicated Graphics Memory;Supported Cellular Data Links;Supported USB Specification;Bluetooth support;Wireless LAN support;NFC support;Supported Audio/Video Interface;Supported GPS protocol(s);Supported Galileo service(s);Supported GLONASS protocol(s);Supported BeiDou system (BDS);Special Features;;
HiSilicon;KIRIN;KIRIN9010L 4G Hi36A0;;2024;Multi-core Application Processor with Modem;64 bit;ARMv8-A (A32, A64);3x HiSilicon TaiShan V121 + 3x ARM Cortex-A510 MPcore;6;LPDDR5 SDRAM , LPDDR5X SDRAM;4266 MHz;16 bit;;4 ch;;UFS 3.1 , UFS 4.0;;;2190 MHz max.;68.26 Gbyte/s;;;;;;;;;;;7 nm;FinFET;;;SMIC;HiSilicon Maleoon 910 GPU;4-core GPU;750 MHz GPU;;CSD 9.6 kbps , GPRS (Class unspecified) , GPRS Class 10 , GPRS Class 12 , GPRS Multi-slot Class 12 , GPRS Multi-slot Class 32 , GPRS Multi-slot Class 33 , EDGE (Class unspecified) , EDGE Multi-slot Class 12 , EDGE Multi-slot Class 32 , EDGE Multi-slot Class 33 , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 28.8 Mbps (Cat. 16) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , TD-SCDMA , TD-HSDPA , LTE (Cat. unspecified) , LTE 50 Mbps / 25 Mbps (Cat. 2) , LTE 75 Mbps / 25 Mbps (Cat. 3) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 225 Mbps / 50 Mbps , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 300 Mbps / 75 Mbps (Cat. 5) , LTE 300 Mbps / 100 Mbps (Cat. 7) , LTE 400 Mbps / 150 Mbps (LTE Cat. 13) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 450 Mbps / 100 Mbps (LTE Cat. 10) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) , LTE 600 Mbps / 100 Mbps (LTE Cat. 12) , LTE 750 Mbps / 225 Mbps (LTE Cat. 15) , LTE 1 Gbps / 100 Mbps (LTE Cat. 16) , LTE 1.2 Gbps / 200 Mbps (LTE Cat. 18) , LTE 1.4 Gbps / 300 Mbps (LTE Cat. 21) , LTE 1.6 Gbps (LTE Cat. 19) , LTE 2 Gbps / 300 Mbps (LTE Cat. 20) , LTE 2.4 Gbps / 400 Mbps (Cat. 22) , LTE 2.7 Gbps / 500 Mbps (Cat. 23) , LTE 3 Gbps / 600 Mbps (LTE Cat. 24) data links;USB 2.0 , USB 3.0 / USB 3.1 Gen 1 / USB 3.2 Gen 1x1;Bluetooth 5.2;IEEE 802.11a , IEEE 802.11b , IEEE 802.11g , IEEE 802.11n , IEEE 802.11ac , IEEE 802.11ax (Wi-Fi 6);NFC A , NFC B;No;Yes;Yes;Yes;B1c , B1I , B2a , B2b , BDS Voice Call , BDS SMS BeiDou receiver;single TaiShan V121 (up to 2.19 GHz, 2 threads) + dual TaiShan V121 (up to 2.18 GHz, 4 threads) + triple ARM Cortex-A510 (up to 1.4 GHz, 3 threads) Harvard Superscalar processor cores, ARM big.LITTLE, HMP, HiSilicon Balong 5000 baseband modem, dual SIM 4G support (DSDA, DSDS), Da Vinci NPU, 4K 60 fps video encode, 4K 60 fps video decode, HDR10 support, OpenGL ES 3.2, OpenCL 2.0, Vulkan 1.1, DirectX 12;;
HiSilicon;KIRIN;KIRIN9010E 4G Hi36A0;;2024;Multi-core Application Processor with Modem;64 bit;ARMv8-A (A32, A64);4x HiSilicon TaiShan V121 + 4x ARM Cortex-A510 MPcore;8;LPDDR5 SDRAM , LPDDR5X SDRAM;4266 MHz;16 bit;;4 ch;;UFS 3.1 , UFS 4.0;;;2190 MHz max.;68.26 Gbyte/s;;;;;;;;;;;7 nm;FinFET;;;SMIC;HiSilicon Maleoon 910 GPU;4-core GPU;750 MHz GPU;;CSD 9.6 kbps , GPRS (Class unspecified) , GPRS Class 10 , GPRS Class 12 , GPRS Multi-slot Class 12 , GPRS Multi-slot Class 32 , GPRS Multi-slot Class 33 , EDGE (Class unspecified) , EDGE Multi-slot Class 12 , EDGE Multi-slot Class 32 , EDGE Multi-slot Class 33 , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 28.8 Mbps (Cat. 16) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , TD-SCDMA , TD-HSDPA , LTE (Cat. unspecified) , LTE 50 Mbps / 25 Mbps (Cat. 2) , LTE 75 Mbps / 25 Mbps (Cat. 3) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 225 Mbps / 50 Mbps , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 300 Mbps / 75 Mbps (Cat. 5) , LTE 300 Mbps / 100 Mbps (Cat. 7) , LTE 400 Mbps / 150 Mbps (LTE Cat. 13) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 450 Mbps / 100 Mbps (LTE Cat. 10) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) , LTE 600 Mbps / 100 Mbps (LTE Cat. 12) , LTE 750 Mbps / 225 Mbps (LTE Cat. 15) , LTE 1 Gbps / 100 Mbps (LTE Cat. 16) , LTE 1.2 Gbps / 200 Mbps (LTE Cat. 18) , LTE 1.4 Gbps / 300 Mbps (LTE Cat. 21) , LTE 1.6 Gbps (LTE Cat. 19) , LTE 2 Gbps / 300 Mbps (LTE Cat. 20) , LTE 2.4 Gbps / 400 Mbps (Cat. 22) , LTE 2.7 Gbps / 500 Mbps (Cat. 23) , LTE 3 Gbps / 600 Mbps (LTE Cat. 24) data links;USB 2.0 , USB 3.0 / USB 3.1 Gen 1 / USB 3.2 Gen 1x1;Bluetooth 5.2;IEEE 802.11a , IEEE 802.11b , IEEE 802.11g , IEEE 802.11n , IEEE 802.11ac , IEEE 802.11ax (Wi-Fi 6);NFC A , NFC B;No;Yes;Yes;Yes;B1c , B1I , B2a , B2b , BDS Voice Call , BDS SMS BeiDou receiver;single TaiShan V121 (up to 2.19 GHz, 2 threads) + triple TaiShan V121 (up to 2.18 GHz, 6 threads) + quad ARM Cortex-A510 (up to 1.55 GHz) Harvard Superscalar processor cores, ARM big.LITTLE, HMP, HiSilicon Balong 5000 baseband modem, dual SIM 4G support (DSDA, DSDS), Da Vinci NPU, 4K 60 fps video encode, 4K 60 fps video decode, HDR10 support, OpenGL ES 3.2, OpenCL 2.0, Vulkan 1.1, DirectX 12;;
HiSilicon;KIRIN;KIRIN9000WM Hi36A0;;2024;Multi-core Application Processor;64 bit;ARMv8-A (A32, A64);3x HiSilicon TaiShan V120 + 3x ARM Cortex-A510 MPcore;6;LPDDR5 SDRAM , LPDDR5X SDRAM;4266 MHz;16 bit;;4 ch;;UFS 3.1 , UFS 4.0;;;2350 MHz max.;68.26 Gbyte/s;;;;;;;;;;;7 nm;FinFET;;;SMIC;HiSilicon Maleoon 910 GPU;4-core GPU;750 MHz GPU;;No;USB 2.0 , USB 3.0 / USB 3.1 Gen 1 / USB 3.2 Gen 1x1;Bluetooth 5.2;IEEE 802.11a , IEEE 802.11b , IEEE 802.11g , IEEE 802.11n , IEEE 802.11ac , IEEE 802.11ax (Wi-Fi 6);NFC A , NFC B;No;Yes;Yes;Yes;B1c , B1I , B2a , B2b BeiDou receiver;single TaiShan V120 (up to 2.35 GHz, 2 threads) + triple TaiShan V120 (up to 2.15 GHz, 4 threads) + triple ARM Cortex-A510 (up to 1.53 GHz, 3 threads) Harvard Superscalar processor cores, ARM big.LITTLE, HMP, Da Vinci NPU, 4K 60 fps video encode, 4K 60 fps video decode, HDR10 support, OpenGL ES 3.2, OpenCL 2.0, Vulkan 1.1, DirectX 12;;
HiSilicon;KIRIN;Kirin T90A Hi36A0;;2024;Multi-core Application Processor;64 bit;ARMv8-A (A32, A64);4x HiSilicon Taishan V120 + 4x ARM Cortex-A510 MPcore;8;LPDDR4x SDRAM , LPDDR5 SDRAM;2750 MHz;16 bit;;4 ch;;UFS 3.1 , UFS 4.0;;;2490 MHz max.;44 Gbyte/s;;;;;;;;;;;7 nm;FinFET;;;SMIC;HiSilicon Maleoon 910 GPU;4-core GPU;750 MHz GPU;;No;USB 2.0 , USB 3.0 / USB 3.1 Gen 1 / USB 3.2 Gen 1x1;Bluetooth 5.2;IEEE 802.11a , IEEE 802.11b , IEEE 802.11g , IEEE 802.11n , IEEE 802.11ac , IEEE 802.11ax (Wi-Fi 6);NFC A , NFC B;No;No;;;;single TaiShan V120 (up to 2.49 GHz, 2 threads) + triple TaiShan V120 (up to 2.15 GHz, 6 threads) + quad ARM Cortex-A510 (up to 1.53 GHz) Harvard Superscalar processor cores, ARM big.LITTLE, HMP, Da Vinci NPU, 4K 60 fps video encode, 4K 60 fps video decode, HDR10 support, OpenGL ES 3.2, OpenCL 2.0, Vulkan 1.1, DirectX 12. For tablet devices;;
HiSilicon;KIRIN;KIRIN9000WE Hi36A0;;2024;Multi-core Application Processor;64 bit;ARMv8-A (A32, A64);4x HiSilicon Taishan V120 + 4x ARM Cortex-A510 MPcore;8;LPDDR5 SDRAM , LPDDR5X SDRAM;4266 MHz;16 bit;;4 ch;;UFS 3.1 , UFS 4.0;;;2487 MHz max.;68.26 Gbyte/s;;;;;;;;;;;7 nm;FinFET;;;SMIC;HiSilicon Maleoon 910 GPU;4-core GPU;750 MHz GPU;;No;USB 2.0 , USB 3.0 / USB 3.1 Gen 1 / USB 3.2 Gen 1x1;Bluetooth 5.2;IEEE 802.11a , IEEE 802.11b , IEEE 802.11g , IEEE 802.11n , IEEE 802.11ac , IEEE 802.11ax (Wi-Fi 6);NFC A , NFC B;No;Yes;Yes;Yes;B1c , B1I , B2a , B2b BeiDou receiver;single TaiShan V120 (up to 2487 MHz, 2 threads) + triple TaiShan V120 (up to 2.15 GHz, 6 threads) + quad ARM Cortex-A510 (up to 1.53 GHz) Harvard Superscalar processor cores, ARM big.LITTLE, HMP, Da Vinci NPU, 4K 60 fps video encode, 4K 60 fps video decode, HDR10 support, OpenGL ES 3.2, OpenCL 2.0, Vulkan 1.1, DirectX 12. For tablet devices;;
HiSilicon;KIRIN;KIRIN9000WL Hi36A0;;2024;Multi-core Application Processor;64 bit;ARMv8-A (A32, A64);4x HiSilicon Taishan V120 + 4x ARM Cortex-A510 MPcore;8;LPDDR5 SDRAM , LPDDR5X SDRAM;4266 MHz;16 bit;;4 ch;;UFS 3.1 , UFS 4.0;;;2490 MHz max.;68.26 Gbyte/s;;;;;;;;;;;7 nm;FinFET;;;SMIC;HiSilicon Maleoon 910 GPU;4-core GPU;750 MHz GPU;;No;USB 2.0 , USB 3.0 / USB 3.1 Gen 1 / USB 3.2 Gen 1x1;Bluetooth 5.2;IEEE 802.11a , IEEE 802.11b , IEEE 802.11g , IEEE 802.11n , IEEE 802.11ac , IEEE 802.11ax (Wi-Fi 6);NFC A , NFC B;No;Yes;Yes;Yes;B1c , B1I , B2a , B2b BeiDou receiver;single TaiShan V120 (up to 2.49 GHz, 2 threads) + triple TaiShan V120 (up to 2.15 GHz, 6 threads) + quad ARM Cortex-A510 (up to 1.53 GHz) Harvard Superscalar processor cores, ARM big.LITTLE, HMP, Da Vinci NPU, 4K 60 fps video encode, 4K 60 fps video decode, HDR10 support, OpenGL ES 3.2, OpenCL 2.0, Vulkan 1.1, DirectX 12;;
HiSilicon;KIRIN;KIRIN9000S1 4G Hi36A0 GFCV120;;2024;Multi-core Application Processor with Modem;64 bit;ARMv8-A (A32, A64);4x HiSilicon Taishan V120 + 4x ARM Cortex-A510 MPcore;8;LPDDR5 SDRAM , LPDDR5X SDRAM;4266 MHz;16 bit;;4 ch;;UFS 3.1 , UFS 4.0;;;2490 MHz max.;68.26 Gbyte/s;;;;;;;;;;;7 nm;FinFET;;;SMIC;HiSilicon Maleoon 910 GPU;4-core GPU;750 MHz GPU;;CSD 9.6 kbps , GPRS (Class unspecified) , GPRS Class 10 , GPRS Class 12 , GPRS Multi-slot Class 12 , GPRS Multi-slot Class 32 , GPRS Multi-slot Class 33 , EDGE (Class unspecified) , EDGE Multi-slot Class 12 , EDGE Multi-slot Class 32 , EDGE Multi-slot Class 33 , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 28.8 Mbps (Cat. 16) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , TD-SCDMA , TD-HSDPA , LTE (Cat. unspecified) , LTE 50 Mbps / 25 Mbps (Cat. 2) , LTE 75 Mbps / 25 Mbps (Cat. 3) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 225 Mbps / 50 Mbps , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 300 Mbps / 75 Mbps (Cat. 5) , LTE 300 Mbps / 100 Mbps (Cat. 7) , LTE 400 Mbps / 150 Mbps (LTE Cat. 13) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 450 Mbps / 100 Mbps (LTE Cat. 10) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) , LTE 600 Mbps / 100 Mbps (LTE Cat. 12) , LTE 750 Mbps / 225 Mbps (LTE Cat. 15) , LTE 1 Gbps / 100 Mbps (LTE Cat. 16) , LTE 1.2 Gbps / 200 Mbps (LTE Cat. 18) , LTE 1.4 Gbps / 300 Mbps (LTE Cat. 21) , LTE 1.6 Gbps (LTE Cat. 19) , LTE 2 Gbps / 300 Mbps (LTE Cat. 20) , LTE 2.4 Gbps / 400 Mbps (Cat. 22) , LTE 2.7 Gbps / 500 Mbps (Cat. 23) , LTE 3 Gbps / 600 Mbps (LTE Cat. 24) data links;USB 2.0 , USB 3.0 / USB 3.1 Gen 1 / USB 3.2 Gen 1x1;Bluetooth 5.2;IEEE 802.11a , IEEE 802.11b , IEEE 802.11g , IEEE 802.11n , IEEE 802.11ac , IEEE 802.11ax (Wi-Fi 6);NFC A , NFC B;No;Yes;Yes;Yes;B1c , B1I , B2a , B2b BeiDou receiver;single TaiShan V120 (up to 2.49 GHz, 2 threads) + triple TaiShan V120 (up to 2.15 GHz, 6 threads) + quad ARM Cortex-A510 (up to 1.53 GHz) Harvard Superscalar processor cores, ARM big.LITTLE, HMP, HiSilicon Balong 5000 baseband modem, dual SIM 4G support (DSDA, DSDS), Da Vinci NPU, 4K 60 fps video encode, 4K 60 fps video decode, HDR10 support, OpenGL ES 3.2, OpenCL 2.0, Vulkan 1.1, DirectX 12;;
HiSilicon;KIRIN;KIRIN9010 4G Hi36A0 GFCV121;;2024;Multi-core Application Processor with Modem;64 bit;ARMv8-A (A32, A64);4x HiSilicon TaiShan V121 + 4x ARM Cortex-A510 MPcore;8;LPDDR5 SDRAM , LPDDR5X SDRAM;4266 MHz;16 bit;;4 ch;;UFS 3.1 , UFS 4.0;;;2300 MHz max.;68.26 Gbyte/s;;;;;;;;;;;7 nm;FinFET;;;SMIC;HiSilicon Maleoon 910 GPU;4-core GPU;750 MHz GPU;;CSD 9.6 kbps , GPRS (Class unspecified) , GPRS Class 10 , GPRS Class 12 , GPRS Multi-slot Class 12 , GPRS Multi-slot Class 32 , GPRS Multi-slot Class 33 , EDGE (Class unspecified) , EDGE Multi-slot Class 12 , EDGE Multi-slot Class 32 , EDGE Multi-slot Class 33 , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 28.8 Mbps (Cat. 16) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , TD-SCDMA , TD-HSDPA , LTE (Cat. unspecified) , LTE 50 Mbps / 25 Mbps (Cat. 2) , LTE 75 Mbps / 25 Mbps (Cat. 3) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 225 Mbps / 50 Mbps , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 300 Mbps / 75 Mbps (Cat. 5) , LTE 300 Mbps / 100 Mbps (Cat. 7) , LTE 400 Mbps / 150 Mbps (LTE Cat. 13) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 450 Mbps / 100 Mbps (LTE Cat. 10) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) , LTE 600 Mbps / 100 Mbps (LTE Cat. 12) , LTE 750 Mbps / 225 Mbps (LTE Cat. 15) , LTE 1 Gbps / 100 Mbps (LTE Cat. 16) , LTE 1.2 Gbps / 200 Mbps (LTE Cat. 18) , LTE 1.4 Gbps / 300 Mbps (LTE Cat. 21) , LTE 1.6 Gbps (LTE Cat. 19) , LTE 2 Gbps / 300 Mbps (LTE Cat. 20) , LTE 2.4 Gbps / 400 Mbps (Cat. 22) , LTE 2.7 Gbps / 500 Mbps (Cat. 23) , LTE 3 Gbps / 600 Mbps (LTE Cat. 24) data links;USB 2.0 , USB 3.0 / USB 3.1 Gen 1 / USB 3.2 Gen 1x1;Bluetooth 5.2;IEEE 802.11a , IEEE 802.11b , IEEE 802.11g , IEEE 802.11n , IEEE 802.11ac , IEEE 802.11ax (Wi-Fi 6);NFC A , NFC B;No;Yes;Yes;Yes;B1c , B1I , B2a , B2b , BDS Voice Call , BDS SMS BeiDou receiver;single TaiShan V121 (up to 2.3 GHz, 2 threads) + triple TaiShan V121 (up to 2.18 GHz, 6 threads) + quad ARM Cortex-A510 (up to 1.55 GHz) Harvard Superscalar processor cores, ARM big.LITTLE, HMP, HiSilicon Balong 5000 baseband modem, dual SIM 4G support (DSDA, DSDS), Da Vinci NPU, 4K 60 fps video encode, 4K 60 fps video decode, HDR10 support, OpenGL ES 3.2, OpenCL 2.0, Vulkan 1.1, DirectX 12;;
MediaTek;Dimensity;Dimensity 7350 MT6886V/TCZA;;2024;Multi-core Application Processor with Modem;64 bit;ARMv9-A (A32, A64);2x ARM Cortex-A715 + 6x ARM Cortex-A510 MPcores;8;LPDDR4x SDRAM , LPDDR5 SDRAM;3200 MHz;16 bit;;4 ch;;UFS 3.1;;;3000 MHz max.;51.2 Gbyte/s;;;;;;;4096 Kbyte L3;;;;4 nm;FinFET;;;TSMC;ARM Mali-G610 GPU;4-core GPU;1300 MHz GPU;;CSD 9.6 kbps , GPRS (Class unspecified) , GPRS Class 12 , EDGE (Class unspecified) , EDGE Multi-slot Class 12 , EDGE Multi-slot Class 32 , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 28.8 Mbps (Cat. 16) , DC-HSDPA 42.2 Mbps (Cat. 24) , cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , CDMA2000 1xEV-DO Revision B , TD-SCDMA , LTE (Cat. unspecified) , LTE 50 Mbps / 25 Mbps (Cat. 2) , LTE 75 Mbps / 25 Mbps (Cat. 3) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 225 Mbps / 50 Mbps , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 300 Mbps / 75 Mbps (Cat. 5) , LTE 300 Mbps / 100 Mbps (Cat. 7) , LTE 400 Mbps / 150 Mbps (LTE Cat. 13) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 450 Mbps / 100 Mbps (LTE Cat. 10) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) , LTE 600 Mbps / 100 Mbps (LTE Cat. 12) , LTE 750 Mbps / 225 Mbps (LTE Cat. 15) , LTE 1 Gbps / 100 Mbps (LTE Cat. 16) , LTE 1.2 Gbps / 200 Mbps (LTE Cat. 18) , LTE 1.4 Gbps / 300 Mbps (LTE Cat. 21) , LTE 1.6 Gbps (LTE Cat. 19) , LTE 2 Gbps / 300 Mbps (LTE Cat. 20) , LTE 2.4 Gbps / 400 Mbps (Cat. 22) , LTE 2.7 Gbps / 500 Mbps (Cat. 23) , LTE 3 Gbps / 600 Mbps (LTE Cat. 24) , NR 1.5 Gbps , NR 2.6 Gbps , NR 3.7 Gbps , NR 4.6 Gbps , NR 7.5 Gbps data links;USB 2.0 , USB 3.0 / USB 3.1 Gen 1 / USB 3.2 Gen 1x1;Bluetooth 5.3;IEEE 802.11a , IEEE 802.11b , IEEE 802.11g , IEEE 802.11n , IEEE 802.11ac , IEEE 802.11ax (Wi-Fi 6);;HDMI (Unspecified) , HDMI 1.4;Yes;E1 , E5a , E5b;L1OF , L2OF;B1c , B1I , B2a , B2b BeiDou receiver;dual ARM Cortex-A715 (up to 3 GHz) + quad ARM Cortex-A510 (up to 2 GHz) Harvard Superscalar cores, dual-cluster HMP, ARM big.LITTLE, ARM TrustZone, ARM NEON SIMD engine, 144 Hz FHD+ display support, 4K HDR 30 fps video encode, 4K HDR 60 fps video decode, embedded modem GSM / GPRS / EDGE / TD-SCDMA / UMTS / HSPA+ / LTE / 5G 4.7 Gbps (DL), MiraVision 765, HyperEngine 5.0, MediaTek NPU 657, DirectX12, OpenCL 2.0, OpenGL ES 3.2, OpenVG 1.1, Vulkan 1.3, 200 MP single camera support;;
MediaTek;Dimensity;Dimensity 8350 MT6897;;2024;Multi-core Application Processor with Modem;64 bit;ARMv8.3 (A32, A64);4x ARM Cortex-A715 + 4x ARM Cortex-A510 MPcore;8;LPDDR5 SDRAM , LPDDR5X SDRAM;4266 MHz;16 bit;;4 ch;;UFS 4.0;;;3350 MHz max.;68.26 Gbyte/s;;;;;;;;;;;4 nm;FinFET;;;TSMC;ARM Mali-G615 GPU;6-core GPU;;;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , TD-SCDMA , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 300 Mbps / 100 Mbps (Cat. 7) , LTE 400 Mbps / 150 Mbps (LTE Cat. 13) , LTE 600 Mbps / 100 Mbps (LTE Cat. 12) , LTE 1.6 Gbps (LTE Cat. 19) , NR 2.6 Gbps , NR 3.7 Gbps , NR 4.6 Gbps data links;USB 2.0 , USB 3.0 / USB 3.1 Gen 1 / USB 3.2 Gen 1x1;Bluetooth 5.4;IEEE 802.11a , IEEE 802.11b , IEEE 802.11g , IEEE 802.11n , IEEE 802.11ac , IEEE 802.11ax (Wi-Fi 6);NFC A , NFC B;No;Yes;E1 , E5a;L1OF , L2OF;B1c , B1I , B2a , B3I BeiDou receiver;1x ARM Cortex-A715 (up to 3.35 GHz) + 3x ARM Cortex-A715 (up to 3.2 GHz) + 4x ARM Cortex-A55 (up to 2.2 GHz) Harvard Superscalar processor core, HMP, 180 Hz FHD+ / 120 Hz WQHD+ display support, 5G NR dual-SIM support, 2160p 60 fps HDR10 video encode, 2160p 60 fps HDR10 video decode, FM radio support, 320 MP single camera support, multi-core multi-threaded APU 780. Wi.Fi 6E support, OpenCL 2.0, OpenGL ES 3.2;;
